#{"t_start": 1620663403.6765835, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
84.0,216,3.04559
116.0,570,8.479006
36.0,39,8.837581
105.0,222,10.954989
84.0,99,11.930379
119.0,1894,30.055007
29.0,32,30.362212
72.0,78,31.078814
78.0,109,32.096145
36.0,40,32.46839
85.0,140,33.795001
72.0,76,34.499174
77.0,148,35.887615
91.0,237,38.158873
36.0,40,38.532873
68.0,73,39.235058
114.0,161,40.804534
104.0,166,42.388272
80.0,102,43.363183
34.0,37,43.705334
110.0,252,46.134029
144.0,484,50.721314
77.0,99,51.657633
28.0,31,51.943905
33.0,36,52.287071
165.0,1976,71.009597
89.0,98,71.941764
34.0,37,72.294815
74.0,82,73.055794
33.0,36,73.386268
156.0,178,75.079571
175.0,310,78.044981
130.0,191,79.859713
100.0,137,81.162373
40.0,43,81.556362
120.0,165,83.121714
34.0,37,83.477321
30.0,33,83.77954
84.0,119,84.909158
32.0,35,85.239329
89.0,109,86.274063
35.0,38,86.621167
98.0,110,87.659106
38.0,41,88.054081
37.0,40,88.451018
161.0,203,90.402251
37.0,40,90.781303
37.0,40,91.163595
169.0,279,93.860981
33.0,36,94.196135
33.0,36,94.537775
144.0,193,96.409807
117.0,190,98.234981
27.0,30,98.534153
27.0,30,98.820415
147.0,245,101.175423
76.0,164,102.747699
84.0,87,103.573147
76.0,90,104.432153
28.0,31,104.719413
139.0,253,107.144274
115.0,147,108.55797
35.0,38,108.914568
35.0,38,109.274664
221.0,240,111.577785
113.0,143,112.937206
150.0,198,114.8283
101.0,116,115.941443
37.0,40,116.317409
97.0,121,117.469352
37.0,40,117.843346
104.0,181,119.563878
36.0,39,119.931648
115.0,202,121.85455
37.0,40,122.23351
36.0,39,122.593111
102.0,113,123.672011
37.0,40,124.047536
99.0,107,125.037985
39.0,43,125.450864
156.0,542,130.7372
109.0,192,132.558074
86.0,99,133.547787
140.0,961,142.574089
29.0,32,142.863315
111.0,268,145.376437
188.0,563,150.629317
92.0,122,151.771594
179.0,258,154.174001
119.0,155,155.633406
38.0,41,156.026381
40.0,46,156.459396
38.0,41,156.831442
102.0,109,157.847967
37.0,40,158.220041
37.0,40,158.591053
38.0,41,158.967624
97.0,120,160.077063
37.0,40,160.447116
41.0,44,160.852604
96.0,99,161.771382
132.0,187,163.523143
37.0,40,163.897185
130.0,172,165.504198
37.0,40,165.878208
173.0,237,168.097029
123.0,178,169.758247
109.0,129,170.963311
108.0,131,172.18319
123.0,229,174.312309
166.0,1700,190.176746
78.0,83,190.955263
38.0,41,191.3343
37.0,42,191.716312
27.0,30,191.991575
27.0,30,192.266886
29.0,32,192.568093
108.0,271,195.0969
100.0,238,197.326
144.0,178,198.984377
32.0,36,199.315532
30.0,33,199.627303
36.0,39,199.99033
98.0,102,200.931876
37.0,40,201.298965
93.0,146,202.646997
36.0,39,203.012607
37.0,40,203.383648
38.0,42,203.779667
36.0,39,204.140698
122.0,187,205.895756
128.0,185,207.619265
186.0,402,211.391078
88.0,107,212.400033
74.0,84,213.170073
29.0,32,213.467279
29.0,33,213.765485
27.0,30,214.041831
195.0,324,217.097703
122.0,171,218.693624
32.0,35,219.01378
72.0,95,219.892684
65.0,69,220.541952
102.0,508,225.301892
29.0,34,225.615609
79.0,83,226.371648
132.0,157,227.843301
29.0,32,228.13619
27.0,30,228.413503
69.0,81,229.164074
139.0,224,231.256551
25.0,28,231.521841
93.0,98,232.425513
29.0,32,232.726713
37.0,40,233.095777
34.0,37,233.432467
37.0,40,233.802601
37.0,40,234.175759
