#{"t_start": 1620693335.1332183, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
247.0,30,3.01435
246.0,36,3.361449
639.0,143,4.711501
218.0,43,5.108422
585.0,162,6.653941
624.0,100,7.590027
767.0,180,9.286503
723.0,601,14.977486
627.0,100,15.914358
243.0,37,16.266194
234.0,38,16.624002
857.0,1089,27.575945
598.0,98,28.593341
1307.0,1491,43.827592
585.0,145,45.317486
608.0,103,46.361921
250.0,33,46.699606
1287.0,457,51.384092
1203.0,872,60.363474
942.0,658,67.001816
247.0,36,67.375931
734.0,545,72.979494
879.0,954,82.855504
729.0,573,90.642388
224.0,39,91.141603
1296.0,362,95.495257
245.0,31,95.822382
609.0,946,106.124619
250.0,34,106.483887
651.0,83,107.978997
230.0,41,109.238666
591.0,105,112.29379
607.0,164,117.404768
234.0,36,118.500909
231.0,41,119.702036
639.0,143,123.962498
247.0,31,124.885535
1142.0,1048,156.516937
1187.0,832,181.590022
1166.0,962,211.288841
586.0,113,214.733526
750.0,271,223.228577
634.0,168,228.43423
608.0,86,231.128582
609.0,112,234.525251
753.0,257,242.447117
628.0,87,245.209829
575.0,167,250.388878
998.0,367,261.824534
557.0,1107,297.605347
936.0,689,319.698592
687.0,447,334.011288
635.0,162,338.992898
844.0,1141,375.656052
245.0,30,376.687247
791.0,1396,422.327703
1014.0,317,432.908083
249.0,29,433.766428
597.0,168,439.330756
237.0,34,440.552034
614.0,99,443.744107
607.0,799,473.834176
793.0,255,483.247775
651.0,557,506.269473
249.0,30,507.465271
629.0,81,510.41797
637.0,154,516.677461
244.0,33,517.944582
643.0,621,541.860416
234.0,41,543.404651
1034.0,200,551.057451
240.0,37,552.374884
758.0,430,567.5767
229.0,43,569.038567
637.0,82,571.88021
1001.0,1718,630.814264
1380.0,430,645.888924
1083.0,1392,694.999064
663.0,497,712.753297
252.0,34,713.926559
639.0,142,719.034555
1214.0,792,747.783759
230.0,36,749.164654
590.0,139,754.124893
238.0,41,755.591857
220.0,45,757.284372
607.0,105,761.105963
751.0,237,769.840739
245.0,33,771.217609
711.0,405,786.137092
617.0,87,789.515355
737.0,290,800.536525
732.0,556,822.299623
826.0,1219,868.958222
247.0,34,870.210405
649.0,91,873.826979
639.0,141,879.26152
622.0,85,883.075687
625.0,210,891.728289
614.0,269,902.491416
743.0,186,910.266809
624.0,143,916.252189
232.0,35,917.59775
243.0,37,919.099204
603.0,114,923.484723
235.0,34,924.943269
970.0,556,946.60609
1303.0,1575,1011.922884
961.0,554,1034.742953
247.0,29,1036.050296
239.0,41,1037.708579
239.0,37,1039.308662
1432.0,1515,1102.64567
584.0,121,1107.762042
617.0,92,1111.756822
245.0,29,1112.865129
219.0,42,1114.588771
249.0,32,1115.913268
228.0,41,1117.829187
241.0,37,1119.242402
246.0,35,1120.866076
574.0,1349,1180.146202
752.0,459,1200.705042
629.0,105,1205.500185
619.0,104,1210.234021
1169.0,1061,1259.253813
692.0,290,1273.116829
742.0,206,1282.686041
617.0,82,1286.932531
240.0,37,1288.524132
242.0,35,1290.421706
613.0,97,1294.928456
236.0,35,1296.578707
638.0,149,1303.590954
1188.0,785,1340.160613
983.0,452,1362.04955
241.0,35,1364.085129
248.0,35,1365.743361
236.0,38,1367.591851
248.0,34,1369.219525
637.0,82,1373.033033
770.0,369,1391.546439
630.0,89,1396.098457
608.0,94,1400.53665
243.0,34,1402.346674
603.0,96,1406.99678
242.0,33,1408.520731
603.0,107,1413.569699
627.0,205,1423.467555
927.0,725,1459.59609
594.0,109,1465.208663
603.0,94,1469.94911
625.0,95,1474.484339
607.0,791,1512.709631
786.0,290,1530.509149
587.0,112,1537.735362
443.0,2005,1668.260215
620.0,81,1673.558735
1106.0,1367,1764.10617
1313.0,287,1782.895941
1106.0,397,1808.858351
619.0,89,1814.696838
241.0,34,1816.802316
248.0,31,1818.873034
648.0,97,1825.256612
639.0,142,1834.695003
251.0,29,1836.75282
234.0,38,1838.99432
1212.0,700,1886.456254
673.0,599,1926.876251
741.0,511,1961.525306
769.0,141,1970.764996
606.0,102,1977.65752
239.0,36,1979.836154
748.0,477,2013.721484
243.0,34,2015.857697
1006.0,435,2046.492449
1034.0,210,2060.458218
248.0,38,2063.130425
248.0,32,2065.268049
729.0,571,2102.814337
1114.0,357,2126.54655
649.0,974,2190.996106
1199.0,843,2249.996
760.0,416,2278.150372
693.0,752,2329.631341
609.0,109,2336.842208
1034.0,187,2349.624722
1367.0,1193,2433.72142
704.0,259,2451.683522
883.0,953,2518.890712
639.0,143,2528.583068
1302.0,253,2546.092206
248.0,32,2548.502745
1282.0,354,2572.386052
246.0,35,2574.96172
980.0,451,2604.802217
746.0,488,2638.364273
640.0,137,2647.554844
598.0,187,2661.345512
611.0,99,2668.491201
624.0,78,2673.832896
616.0,160,2684.846257
996.0,380,2710.755262
906.0,1354,2804.938337
902.0,849,2871.013141
249.0,30,2873.412493
617.0,99,2880.927813
997.0,1922,3026.917934
1140.0,1097,3110.580217
813.0,1290,3211.651122
236.0,35,3214.711775
251.0,33,3217.24861
658.0,679,3268.958939
228.0,37,3271.425132
241.0,32,3273.807011
636.0,156,3285.768695
639.0,144,3296.429985
593.0,100,3303.876517
646.0,106,3311.576843
1013.0,399,3341.28366
