#{"t_start": 1620623953.4428375, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
216.0,29,3.923166
808.0,106,6.211741
162.0,37,7.020049
589.0,76,8.715631
645.0,107,11.039554
239.0,23,11.513854
244.0,18,11.897341
1070.0,179,15.773213
628.0,110,18.125238
623.0,85,20.038481
667.0,87,21.873379
644.0,84,23.688212
645.0,100,26.088868
608.0,132,28.855741
833.0,185,32.851354
207.0,33,33.54284
667.0,109,35.935655
619.0,94,37.912138
231.0,28,38.496623
652.0,140,41.430046
667.0,133,44.339977
211.0,28,44.969849
753.0,162,48.480788
221.0,28,49.112408
253.0,19,49.517031
654.0,71,50.984244
640.0,65,52.346271
193.0,28,52.922288
226.0,40,53.756016
667.0,239,58.833321
834.0,302,65.336673
731.0,222,70.046577
150.0,48,71.053952
236.0,25,71.627466
609.0,107,74.004852
102.0,52,75.204627
238.0,26,75.919344
1080.0,439,86.156957
833.0,1003,112.254739
252.0,19,112.665327
204.0,34,113.395873
119.0,53,114.522643
235.0,33,115.239248
250.0,31,115.886696
209.0,32,116.626193
207.0,27,117.412597
229.0,24,118.100307
1081.0,989,140.499792
303.0,1003,161.98375
293.0,1010,184.036198
-33.0,1003,205.934195
179.0,1003,228.980885
651.0,110,233.906576
251.0,17,234.702735
843.0,113,239.732774
239.0,21,240.71512
240.0,22,241.590315
237.0,21,242.543377
239.0,20,243.35894
239.0,20,244.299436
242.0,20,245.071393
239.0,21,246.033869
239.0,20,246.967911
241.0,20,247.784285
238.0,20,248.724793
613.0,70,251.704243
238.0,21,252.66626
667.0,105,257.170049
239.0,21,258.118529
608.0,84,261.741559
648.0,167,269.094277
642.0,82,272.64718
652.0,47,274.695541
239.0,20,275.630659
232.0,23,276.626157
625.0,117,281.709777
244.0,17,282.430374
628.0,73,285.534153
239.0,20,286.472845
240.0,19,287.276228
649.0,59,289.932764
239.0,21,290.757056
239.0,20,291.697731
667.0,106,296.227089
241.0,21,297.169627
240.0,19,297.948588
632.0,95,302.302297
243.0,20,303.079122
221.0,24,304.109472
1351.0,226,314.032046
239.0,20,314.872831
239.0,20,315.813907
1082.0,125,321.207871
239.0,20,322.151831
239.0,21,322.977027
246.0,18,323.847186
638.0,52,326.014423
237.0,20,326.979839
243.0,20,327.769321
238.0,21,328.742683
231.0,22,329.714696
239.0,21,330.535068
1466.0,149,337.097617
249.0,18,337.831659
239.0,21,338.784606
239.0,21,339.616347
241.0,21,340.564491
242.0,19,341.36535
241.0,21,342.343202
239.0,20,343.218508
630.0,50,345.524173
239.0,21,346.369521
1079.0,177,354.551498
239.0,20,355.520469
241.0,21,356.501863
233.0,22,357.367986
242.0,20,358.323941
240.0,21,359.197047
239.0,21,360.182894
647.0,58,362.727052
239.0,20,363.676607
243.0,20,364.476981
237.0,21,365.469325
237.0,21,366.437244
239.0,20,367.266067
241.0,21,368.241498
239.0,20,369.051772
239.0,20,370.020794
243.0,20,370.854076
240.0,22,371.879599
