#{"t_start": 1620632045.1918068, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
653.0,65,2.084984
643.0,57,3.040677
667.0,85,4.467047
667.0,114,6.422931
192.0,70,7.689149
665.0,90,9.283422
197.0,29,9.770508
1073.0,214,13.507185
253.0,17,13.804265
789.0,93,15.370901
237.0,29,15.844237
1079.0,163,18.579117
255.0,17,18.844708
639.0,74,20.089236
1350.0,323,25.548089
246.0,16,25.817719
641.0,43,26.536786
616.0,103,28.268232
605.0,66,29.372597
243.0,23,29.757659
1067.0,145,32.197505
228.0,28,32.652343
839.0,245,36.813732
232.0,21,37.153822
667.0,96,38.767921
1359.0,271,43.325675
640.0,115,45.222841
625.0,77,46.498725
843.0,115,48.431756
226.0,25,48.840236
792.0,113,50.743935
1351.0,143,53.133681
651.0,54,54.036927
237.0,20,54.360827
843.0,134,56.633108
1085.0,208,60.112854
843.0,67,61.238433
238.0,21,61.581515
626.0,68,62.712253
1739.0,208,66.185684
253.0,17,66.465313
216.0,25,66.868836
632.0,52,67.7402
775.0,83,69.170128
251.0,19,69.489292
625.0,57,70.455956
648.0,38,71.136343
253.0,18,71.427237
253.0,17,71.712435
644.0,50,72.540232
1082.0,103,74.251268
621.0,42,74.968794
649.0,45,75.714445
245.0,17,75.985674
1377.0,101,77.703682
1071.0,88,79.181798
256.0,17,79.453046
843.0,83,80.850019
631.0,45,81.604795
748.0,81,82.974268
636.0,50,83.817169
1084.0,104,85.593091
243.0,19,85.914458
246.0,18,86.20897
633.0,41,86.901663
237.0,22,87.272208
243.0,20,87.599943
238.0,21,87.948591
239.0,20,88.298593
222.0,25,88.707824
250.0,17,88.991724
1081.0,116,90.990772
632.0,49,91.808775
239.0,20,92.138998
811.0,87,93.628036
251.0,17,93.900839
247.0,17,94.18763
241.0,20,94.520541
252.0,17,94.798113
249.0,19,95.122728
239.0,20,95.464018
239.0,20,95.800601
239.0,20,96.132773
238.0,20,96.465907
239.0,20,96.800028
239.0,20,97.161215
239.0,20,97.499439
239.0,20,97.836188
239.0,20,98.169792
239.0,20,98.515376
239.0,20,98.848991
239.0,20,99.183473
239.0,20,99.518806
239.0,20,99.852611
239.0,20,100.187733
239.0,20,100.52386
239.0,20,100.861556
239.0,20,101.196336
239.0,20,101.529798
239.0,20,101.863493
239.0,20,102.196533
239.0,20,102.530688
239.0,20,102.867863
239.0,20,103.203033
239.0,20,103.536182
239.0,20,103.872031
239.0,20,104.204812
239.0,20,104.538963
239.0,20,104.875635
239.0,20,105.208832
239.0,20,105.543864
239.0,20,105.877971
239.0,20,106.222224
239.0,20,106.584284
239.0,20,106.93305
239.0,20,107.271758
239.0,20,107.610391
239.0,20,107.954476
239.0,20,108.288824
239.0,20,108.624981
239.0,20,108.961058
239.0,20,109.291078
239.0,20,109.630415
239.0,20,109.963544
239.0,20,110.294918
239.0,20,110.634593
239.0,20,110.970883
239.0,20,111.307982
239.0,20,111.647351
239.0,20,111.982015
239.0,20,112.315759
239.0,20,112.649246
239.0,20,112.981358
239.0,20,113.31347
239.0,20,113.662051
239.0,20,114.001859
239.0,20,114.354625
239.0,20,114.693579
239.0,20,115.03414
239.0,20,115.390814
239.0,20,115.723924
239.0,20,116.05706
239.0,20,116.389793
239.0,20,116.722426
239.0,20,117.068094
239.0,20,117.399208
239.0,20,117.729351
239.0,20,118.060429
239.0,20,118.391701
239.0,20,118.724079
239.0,20,119.067162
239.0,20,119.408864
239.0,20,119.754099
239.0,20,120.0863
239.0,20,120.420343
239.0,20,120.770304
239.0,20,121.119028
239.0,20,121.464344
239.0,20,121.808236
239.0,20,122.151117
239.0,20,122.49456
239.0,20,122.846718
239.0,20,123.200758
239.0,20,123.549767
239.0,20,123.900006
239.0,20,124.258115
239.0,20,124.631986
239.0,20,124.999828
239.0,20,125.343706
239.0,20,125.682701
239.0,20,126.025245
239.0,20,126.368323
239.0,20,126.70676
239.0,20,127.049914
239.0,20,127.384161
239.0,20,127.719292
239.0,20,128.05449
239.0,20,128.386629
239.0,20,128.721788
239.0,20,129.067851
239.0,20,129.402973
239.0,20,129.736083
239.0,20,130.077185
239.0,20,130.410887
239.0,20,130.743983
239.0,20,131.079829
239.0,20,131.412909
239.0,20,131.748079
239.0,20,132.081306
239.0,20,132.414065
239.0,20,132.764305
239.0,20,133.099461
239.0,20,133.431573
239.0,20,133.764298
239.0,20,134.097902
239.0,20,134.42897
239.0,20,134.758119
239.0,20,135.090202
239.0,20,135.419952
239.0,20,135.753009
239.0,20,136.091137
239.0,20,136.425386
239.0,20,136.767879
239.0,20,137.102497
239.0,20,137.433444
239.0,20,137.767111
239.0,20,138.110299
239.0,20,138.471574
239.0,20,138.832175
239.0,20,139.170731
239.0,20,139.50824
239.0,20,139.846308
239.0,20,140.193895
239.0,20,140.532631
239.0,20,140.868714
239.0,20,141.203908
239.0,20,141.542257
239.0,20,141.879332
239.0,20,142.224102
239.0,20,142.567075
239.0,20,142.902757
239.0,20,143.236094
239.0,20,143.572226
239.0,20,143.918276
239.0,20,144.253248
239.0,20,144.588003
239.0,20,144.924178
239.0,20,145.262332
239.0,20,145.597636
239.0,20,145.950117
239.0,20,146.283517
239.0,20,146.688819
239.0,20,147.130393
239.0,20,147.464076
239.0,20,147.801019
239.0,20,148.135696
239.0,20,148.474375
239.0,20,148.807485
239.0,20,149.1476
239.0,20,149.482171
239.0,20,149.812011
239.0,20,150.149483
239.0,20,150.478599
239.0,20,150.810982
239.0,20,151.143688
239.0,20,151.478499
239.0,20,151.826754
239.0,20,152.159801
239.0,20,152.490097
239.0,20,152.823047
239.0,20,153.15398
239.0,20,153.503907
239.0,20,153.842372
239.0,20,154.181351
239.0,20,154.525846
239.0,20,154.880232
239.0,20,155.215958
239.0,20,155.548099
239.0,20,155.882371
239.0,20,156.228468
239.0,20,156.563607
239.0,20,156.89902
239.0,20,157.233287
239.0,20,157.567029
239.0,20,157.902167
239.0,20,158.23827
239.0,20,158.573957
239.0,20,158.912621
239.0,20,159.247505
239.0,20,159.581786
239.0,20,159.944094
239.0,20,160.287476
239.0,20,160.633888
239.0,20,160.997365
239.0,20,161.334509
239.0,20,161.673401
239.0,20,162.009066
239.0,20,162.345057
239.0,20,162.681186
239.0,20,163.02507
239.0,20,163.360146
239.0,20,163.695907
239.0,20,164.028358
239.0,20,164.360653
239.0,20,164.690598
239.0,20,165.024783
239.0,20,165.35674
239.0,20,165.68785
239.0,20,166.020344
239.0,20,166.350504
239.0,20,166.680598
239.0,20,167.015272
239.0,20,167.344381
239.0,20,167.678246
239.0,20,168.010462
239.0,20,168.340197
239.0,20,168.671348
239.0,20,169.004006
239.0,20,169.335063
239.0,20,169.66625
239.0,20,169.999863
239.0,20,170.330114
239.0,20,170.666639
239.0,20,171.007282
239.0,20,171.337689
239.0,20,171.669428
239.0,20,172.003157
239.0,20,172.334403
239.0,20,172.663984
239.0,20,172.996125
239.0,20,173.326219
239.0,20,173.658899
239.0,20,173.991513
239.0,20,174.321069
239.0,20,174.65021
239.0,20,174.989309
